date,wday,month,year,CASHBACK_STORE_1,type_Cultural,type_National,type_Religious,type_Sporting,is_weekend,item_id,cnt,sell_price
2011-01-30,2,1,2011,0,0,0,0,0,1,STORE_1_090,153,1.25
2011-01-30,2,1,2011,0,0,0,0,0,1,STORE_1_376,4,1.98
2011-01-30,2,1,2011,0,0,0,0,0,1,STORE_1_325,0,
2011-01-30,2,1,2011,0,0,0,0,0,1,STORE_1_065,0,2.94
2011-01-30,2,1,2011,0,0,0,0,0,1,STORE_1_064,1,2.54
2011-01-30,2,1,2011,0,0,0,0,0,1,STORE_1_339,2,0.88
2011-01-31,3,1,2011,0,0,0,0,0,0,STORE_1_727,6,3.98
2011-01-31,3,1,2011,0,0,0,0,0,0,STORE_1_714,28,1.48
2011-01-31,3,1,2011,0,0,0,0,0,0,STORE_1_587,49,2.28
2011-01-31,3,1,2011,0,0,0,0,0,0,STORE_1_586,35,1.48
2011-01-31,3,1,2011,0,0,0,0,0,0,STORE_1_584,7,1.0
2011-01-31,3,1,2011,0,0,0,0,0,0,STORE_1_555,25,1.48
2011-01-31,3,1,2011,0,0,0,0,0,0,STORE_1_547,30,0.2
2011-01-31,3,1,2011,0,0,0,0,0,0,STORE_1_546,1,5.48
2011-01-31,3,1,2011,0,0,0,0,0,0,STORE_1_252,12,1.48
2011-01-31,3,1,2011,0,0,0,0,0,0,STORE_1_090,119,1.25
2011-01-31,3,1,2011,0,0,0,0,0,0,STORE_1_376,1,1.98
2011-01-31,3,1,2011,0,0,0,0,0,0,STORE_1_325,0,
2011-01-31,3,1,2011,0,0,0,0,0,0,STORE_1_065,2,2.94
2011-01-31,3,1,2011,0,0,0,0,0,0,STORE_1_064,0,2.54
2011-01-31,3,1,2011,0,0,0,0,0,0,STORE_1_339,0,0.88
2011-02-01,4,2,2011,0,0,0,0,0,0,STORE_1_547,22,0.2
2011-02-01,4,2,2011,0,0,0,0,0,0,STORE_1_727,0,3.98
2011-02-01,4,2,2011,0,0,0,0,0,0,STORE_1_714,27,1.48
2011-02-01,4,2,2011,0,0,0,0,0,0,STORE_1_587,36,2.28
2011-02-01,4,2,2011,0,0,0,0,0,0,STORE_1_586,66,1.48
2011-02-01,4,2,2011,0,0,0,0,0,0,STORE_1_555,39,1.48
2011-02-01,4,2,2011,0,0,0,0,0,0,STORE_1_546,2,5.48
2011-02-01,4,2,2011,0,0,0,0,0,0,STORE_1_584,11,1.0
2011-02-01,4,2,2011,0,0,0,0,0,0,STORE_1_252,12,1.48
2011-02-01,4,2,2011,0,0,0,0,0,0,STORE_1_064,0,2.54
2011-02-01,4,2,2011,0,0,0,0,0,0,STORE_1_065,0,2.94
2011-02-01,4,2,2011,0,0,0,0,0,0,STORE_1_325,0,
2011-02-01,4,2,2011,0,0,0,0,0,0,STORE_1_339,0,0.88
2011-02-01,4,2,2011,0,0,0,0,0,0,STORE_1_090,80,1.25
2011-02-01,4,2,2011,0,0,0,0,0,0,STORE_1_376,2,1.98
2011-02-02,5,2,2011,1,0,0,0,0,0,STORE_1_555,23,1.48
2011-02-02,5,2,2011,1,0,0,0,0,0,STORE_1_727,2,3.98
2011-02-02,5,2,2011,1,0,0,0,0,0,STORE_1_714,23,1.48
2011-02-02,5,2,2011,1,0,0,0,0,0,STORE_1_587,0,2.28
2011-02-02,5,2,2011,1,0,0,0,0,0,STORE_1_586,37,1.48
2011-02-02,5,2,2011,1,0,0,0,0,0,STORE_1_584,1,1.0
2011-02-02,5,2,2011,1,0,0,0,0,0,STORE_1_547,13,0.2
2011-02-02,5,2,2011,1,0,0,0,0,0,STORE_1_546,0,5.48
2011-02-02,5,2,2011,1,0,0,0,0,0,STORE_1_339,0,0.88
2011-02-02,5,2,2011,1,0,0,0,0,0,STORE_1_252,8,1.48
2011-02-02,5,2,2011,1,0,0,0,0,0,STORE_1_090,80,1.25
2011-02-02,5,2,2011,1,0,0,0,0,0,STORE_1_376,0,1.98
2011-02-02,5,2,2011,1,0,0,0,0,0,STORE_1_325,0,
2011-02-02,5,2,2011,1,0,0,0,0,0,STORE_1_065,0,2.94
2011-02-02,5,2,2011,1,0,0,0,0,0,STORE_1_064,0,2.54
2011-02-03,6,2,2011,1,0,0,0,0,0,STORE_1_714,32,1.48
2011-02-03,6,2,2011,1,0,0,0,0,0,STORE_1_587,0,2.28
2011-02-03,6,2,2011,1,0,0,0,0,0,STORE_1_586,62,1.48
2011-02-03,6,2,2011,1,0,0,0,0,0,STORE_1_584,24,1.0
2011-02-03,6,2,2011,1,0,0,0,0,0,STORE_1_555,56,1.48
2011-02-03,6,2,2011,1,0,0,0,0,0,STORE_1_547,80,0.2
2011-02-03,6,2,2011,1,0,0,0,0,0,STORE_1_727,6,3.98
2011-02-03,6,2,2011,1,0,0,0,0,0,STORE_1_546,6,5.48
2011-02-03,6,2,2011,1,0,0,0,0,0,STORE_1_252,25,1.48
2011-02-03,6,2,2011,1,0,0,0,0,0,STORE_1_090,128,1.25
2011-02-03,6,2,2011,1,0,0,0,0,0,STORE_1_376,1,1.98
2011-02-03,6,2,2011,1,0,0,0,0,0,STORE_1_325,0,
2011-02-03,6,2,2011,1,0,0,0,0,0,STORE_1_065,1,2.94
2011-02-03,6,2,2011,1,0,0,0,0,0,STORE_1_064,0,2.54
2011-02-03,6,2,2011,1,0,0,0,0,0,STORE_1_339,3,0.88
2011-02-04,7,2,2011,0,0,0,0,0,0,STORE_1_727,3,3.98
2011-02-04,7,2,2011,0,0,0,0,0,0,STORE_1_714,33,1.48
2011-02-04,7,2,2011,0,0,0,0,0,0,STORE_1_587,1,2.28
2011-02-04,7,2,2011,0,0,0,0,0,0,STORE_1_586,63,1.48
2011-02-04,7,2,2011,0,0,0,0,0,0,STORE_1_584,12,1.0
2011-02-04,7,2,2011,0,0,0,0,0,0,STORE_1_555,46,1.48
2011-02-04,7,2,2011,0,0,0,0,0,0,STORE_1_547,42,0.2
2011-02-04,7,2,2011,0,0,0,0,0,0,STORE_1_546,2,5.48
2011-02-04,7,2,2011,0,0,0,0,0,0,STORE_1_252,31,1.48
2011-02-04,7,2,2011,0,0,0,0,0,0,STORE_1_090,174,1.25
2011-02-04,7,2,2011,0,0,0,0,0,0,STORE_1_376,5,1.98
2011-02-04,7,2,2011,0,0,0,0,0,0,STORE_1_325,0,
2011-02-04,7,2,2011,0,0,0,0,0,0,STORE_1_065,0,2.94
2011-02-04,7,2,2011,0,0,0,0,0,0,STORE_1_064,2,2.54
2011-02-04,7,2,2011,0,0,0,0,0,0,STORE_1_339,8,0.88
2011-02-05,1,2,2011,1,0,0,0,0,1,STORE_1_555,52,1.48
2011-02-05,1,2,2011,1,0,0,0,0,1,STORE_1_727,3,3.98
2011-02-05,1,2,2011,1,0,0,0,0,1,STORE_1_714,52,1.48
2011-02-05,1,2,2011,1,0,0,0,0,1,STORE_1_587,121,2.48
2011-02-05,1,2,2011,1,0,0,0,0,1,STORE_1_586,80,1.48
2011-02-05,1,2,2011,1,0,0,0,0,1,STORE_1_584,7,1.0
2011-02-05,1,2,2011,1,0,0,0,0,1,STORE_1_547,37,0.2
2011-02-05,1,2,2011,1,0,0,0,0,1,STORE_1_376,3,1.98
2011-02-05,1,2,2011,1,0,0,0,0,1,STORE_1_339,7,0.88
2011-02-05,1,2,2011,1,0,0,0,0,1,STORE_1_252,30,1.48
2011-02-05,1,2,2011,1,0,0,0,0,1,STORE_1_090,250,1.25
2011-02-05,1,2,2011,1,0,0,0,0,1,STORE_1_546,7,5.48
2011-02-05,1,2,2011,1,0,0,0,0,1,STORE_1_325,0,
2011-02-05,1,2,2011,1,0,0,0,0,1,STORE_1_065,0,2.94
2011-02-05,1,2,2011,1,0,0,0,0,1,STORE_1_064,0,2.54
2011-02-06,2,2,2011,1,0,0,0,1,1,STORE_1_714,33,1.48
2011-02-06,2,2,2011,1,0,0,0,1,1,STORE_1_587,91,2.48
2011-02-06,2,2,2011,1,0,0,0,1,1,STORE_1_586,66,1.48
2011-02-06,2,2,2011,1,0,0,0,1,1,STORE_1_584,5,1.0
2011-02-06,2,2,2011,1,0,0,0,1,1,STORE_1_555,61,1.48
2011-02-06,2,2,2011,1,0,0,0,1,1,STORE_1_547,38,0.2
2011-02-06,2,2,2011,1,0,0,0,1,1,STORE_1_546,5,5.48
2011-02-06,2,2,2011,1,0,0,0,1,1,STORE_1_727,5,3.98
2011-02-06,2,2,2011,1,0,0,0,1,1,STORE_1_252,26,1.48
2011-02-06,2,2,2011,1,0,0,0,1,1,STORE_1_090,228,1.25
2011-02-06,2,2,2011,1,0,0,0,1,1,STORE_1_376,0,1.98
2011-02-06,2,2,2011,1,0,0,0,1,1,STORE_1_325,0,
2011-02-06,2,2,2011,1,0,0,0,1,1,STORE_1_065,0,2.94
2011-02-06,2,2,2011,1,0,0,0,1,1,STORE_1_064,1,2.54
2011-02-06,2,2,2011,1,0,0,0,1,1,STORE_1_339,4,0.88
2011-02-07,3,2,2011,0,0,0,0,0,0,STORE_1_727,5,3.98
2011-02-07,3,2,2011,0,0,0,0,0,0,STORE_1_714,33,1.48
2011-02-07,3,2,2011,0,0,0,0,0,0,STORE_1_587,66,2.48
2011-02-07,3,2,2011,0,0,0,0,0,0,STORE_1_586,61,1.48
2011-02-07,3,2,2011,0,0,0,0,0,0,STORE_1_584,8,1.0
2011-02-07,3,2,2011,0,0,0,0,0,0,STORE_1_555,39,1.48
2011-02-07,3,2,2011,0,0,0,0,0,0,STORE_1_547,40,0.2
2011-02-07,3,2,2011,0,0,0,0,0,0,STORE_1_546,3,5.48
2011-02-07,3,2,2011,0,0,0,0,0,0,STORE_1_252,25,1.48
2011-02-07,3,2,2011,0,0,0,0,0,0,STORE_1_090,22,1.25
2011-02-07,3,2,2011,0,0,0,0,0,0,STORE_1_376,2,1.98
2011-02-07,3,2,2011,0,0,0,0,0,0,STORE_1_325,0,
2011-02-07,3,2,2011,0,0,0,0,0,0,STORE_1_065,0,2.94
2011-02-07,3,2,2011,0,0,0,0,0,0,STORE_1_064,0,2.54
2011-02-07,3,2,2011,0,0,0,0,0,0,STORE_1_339,8,0.88
2011-02-08,4,2,2011,1,0,0,0,0,0,STORE_1_547,30,0.2
2011-02-08,4,2,2011,1,0,0,0,0,0,STORE_1_714,20,1.48
2011-02-08,4,2,2011,1,0,0,0,0,0,STORE_1_587,75,2.48
2011-02-08,4,2,2011,1,0,0,0,0,0,STORE_1_586,65,1.48
2011-02-08,4,2,2011,1,0,0,0,0,0,STORE_1_584,9,1.0
2011-02-08,4,2,2011,1,0,0,0,0,0,STORE_1_555,46,1.48
2011-02-08,4,2,2011,1,0,0,0,0,0,STORE_1_546,3,5.48
2011-02-08,4,2,2011,1,0,0,0,0,0,STORE_1_727,3,3.98
2011-02-08,4,2,2011,1,0,0,0,0,0,STORE_1_252,16,1.48
2011-02-08,4,2,2011,1,0,0,0,0,0,STORE_1_064,0,2.54
2011-02-08,4,2,2011,1,0,0,0,0,0,STORE_1_065,0,2.94
2011-02-08,4,2,2011,1,0,0,0,0,0,STORE_1_339,2,0.88
2011-02-08,4,2,2011,1,0,0,0,0,0,STORE_1_376,1,1.98
2011-02-08,4,2,2011,1,0,0,0,0,0,STORE_1_090,5,1.25
2011-02-08,4,2,2011,1,0,0,0,0,0,STORE_1_325,0,
2011-02-09,5,2,2011,1,0,0,0,0,0,STORE_1_727,2,3.98
2011-02-09,5,2,2011,1,0,0,0,0,0,STORE_1_714,28,1.48
2011-02-09,5,2,2011,1,0,0,0,0,0,STORE_1_587,63,2.48
2011-02-09,5,2,2011,1,0,0,0,0,0,STORE_1_586,54,1.48
2011-02-09,5,2,2011,1,0,0,0,0,0,STORE_1_584,16,1.0
2011-02-09,5,2,2011,1,0,0,0,0,0,STORE_1_547,60,0.2
2011-02-09,5,2,2011,1,0,0,0,0,0,STORE_1_555,22,1.48
2011-02-09,5,2,2011,1,0,0,0,0,0,STORE_1_252,14,1.48
2011-02-09,5,2,2011,1,0,0,0,0,0,STORE_1_090,0,1.25
2011-02-09,5,2,2011,1,0,0,0,0,0,STORE_1_376,1,1.98
2011-02-09,5,2,2011,1,0,0,0,0,0,STORE_1_325,0,
2011-02-09,5,2,2011,1,0,0,0,0,0,STORE_1_065,0,2.94
2011-02-09,5,2,2011,1,0,0,0,0,0,STORE_1_064,2,2.54
2011-02-09,5,2,2011,1,0,0,0,0,0,STORE_1_339,8,0.88
2011-02-09,5,2,2011,1,0,0,0,0,0,STORE_1_546,7,5.48
2011-02-10,6,2,2011,0,0,0,0,0,0,STORE_1_547,36,0.2
2011-02-10,6,2,2011,0,0,0,0,0,0,STORE_1_727,2,3.98
2011-02-10,6,2,2011,0,0,0,0,0,0,STORE_1_714,27,1.48
2011-02-10,6,2,2011,0,0,0,0,0,0,STORE_1_587,38,2.48
2011-02-10,6,2,2011,0,0,0,0,0,0,STORE_1_586,51,1.48
2011-02-10,6,2,2011,0,0,0,0,0,0,STORE_1_584,8,1.0
2011-02-10,6,2,2011,0,0,0,0,0,0,STORE_1_555,39,1.48
2011-02-10,6,2,2011,0,0,0,0,0,0,STORE_1_546,4,5.48
2011-02-10,6,2,2011,0,0,0,0,0,0,STORE_1_252,11,1.48
2011-02-10,6,2,2011,0,0,0,0,0,0,STORE_1_090,0,1.25
2011-02-10,6,2,2011,0,0,0,0,0,0,STORE_1_376,1,1.98
2011-02-10,6,2,2011,0,0,0,0,0,0,STORE_1_325,0,
2011-02-10,6,2,2011,0,0,0,0,0,0,STORE_1_065,0,2.94
2011-02-10,6,2,2011,0,0,0,0,0,0,STORE_1_064,0,2.54
2011-02-10,6,2,2011,0,0,0,0,0,0,STORE_1_339,14,0.88
2011-02-11,7,2,2011,1,0,0,0,0,0,STORE_1_727,1,3.98
2011-02-11,7,2,2011,1,0,0,0,0,0,STORE_1_714,33,1.48
2011-02-11,7,2,2011,1,0,0,0,0,0,STORE_1_587,40,2.48
2011-02-11,7,2,2011,1,0,0,0,0,0,STORE_1_586,53,1.48
2011-02-11,7,2,2011,1,0,0,0,0,0,STORE_1_584,8,1.0
2011-02-11,7,2,2011,1,0,0,0,0,0,STORE_1_555,45,1.48
2011-02-11,7,2,2011,1,0,0,0,0,0,STORE_1_547,65,0.2
2011-02-11,7,2,2011,1,0,0,0,0,0,STORE_1_546,5,5.48
2011-02-11,7,2,2011,1,0,0,0,0,0,STORE_1_252,22,1.48
2011-02-11,7,2,2011,1,0,0,0,0,0,STORE_1_090,0,1.25
2011-02-11,7,2,2011,1,0,0,0,0,0,STORE_1_376,2,1.98
2011-02-11,7,2,2011,1,0,0,0,0,0,STORE_1_325,0,
2011-02-11,7,2,2011,1,0,0,0,0,0,STORE_1_065,0,2.94
2011-02-11,7,2,2011,1,0,0,0,0,0,STORE_1_064,0,2.54
2011-02-11,7,2,2011,1,0,0,0,0,0,STORE_1_339,3,0.88
2011-02-12,1,2,2011,1,0,0,0,0,1,STORE_1_555,51,1.48
2011-02-12,1,2,2011,1,0,0,0,0,1,STORE_1_727,9,2.98
2011-02-12,1,2,2011,1,0,0,0,0,1,STORE_1_714,58,1.48
2011-02-12,1,2,2011,1,0,0,0,0,1,STORE_1_587,21,2.48
2011-02-12,1,2,2011,1,0,0,0,0,1,STORE_1_586,81,1.48
2011-02-12,1,2,2011,1,0,0,0,0,1,STORE_1_584,14,1.0
2011-02-12,1,2,2011,1,0,0,0,0,1,STORE_1_547,109,0.2
2011-02-12,1,2,2011,1,0,0,0,0,1,STORE_1_376,1,1.98
2011-02-12,1,2,2011,1,0,0,0,0,1,STORE_1_339,9,0.88
2011-02-12,1,2,2011,1,0,0,0,0,1,STORE_1_064,3,2.54
2011-02-12,1,2,2011,1,0,0,0,0,1,STORE_1_065,0,2.94
2011-02-12,1,2,2011,1,0,0,0,0,1,STORE_1_325,0,
2011-02-12,1,2,2011,1,0,0,0,0,1,STORE_1_546,17,5.48
2011-02-12,1,2,2011,1,0,0,0,0,1,STORE_1_090,0,1.25
2011-02-12,1,2,2011,1,0,0,0,0,1,STORE_1_252,22,1.48
2011-02-13,2,2,2011,0,0,0,0,0,1,STORE_1_727,7,2.98
2011-02-13,2,2,2011,0,0,0,0,0,1,STORE_1_714,52,1.48
2011-02-13,2,2,2011,0,0,0,0,0,1,STORE_1_587,21,2.48
2011-02-13,2,2,2011,0,0,0,0,0,1,STORE_1_586,89,1.48
2011-02-13,2,2,2011,0,0,0,0,0,1,STORE_1_584,8,1.0
2011-02-13,2,2,2011,0,0,0,0,0,1,STORE_1_547,32,0.2
2011-02-13,2,2,2011,0,0,0,0,0,1,STORE_1_546,3,5.48
2011-02-13,2,2,2011,0,0,0,0,0,1,STORE_1_555,41,1.48
2011-02-13,2,2,2011,0,0,0,0,0,1,STORE_1_252,38,1.48
2011-02-13,2,2,2011,0,0,0,0,0,1,STORE_1_090,0,1.25
2011-02-13,2,2,2011,0,0,0,0,0,1,STORE_1_376,4,1.98
2011-02-13,2,2,2011,0,0,0,0,0,1,STORE_1_325,0,
2011-02-13,2,2,2011,0,0,0,0,0,1,STORE_1_065,0,2.94
2011-02-13,2,2,2011,0,0,0,0,0,1,STORE_1_064,2,2.54
2011-02-13,2,2,2011,0,0,0,0,0,1,STORE_1_339,6,0.88
2011-02-14,3,2,2011,1,1,0,0,0,0,STORE_1_555,32,1.48
2011-02-14,3,2,2011,1,1,0,0,0,0,STORE_1_727,10,2.98
2011-02-14,3,2,2011,1,1,0,0,0,0,STORE_1_714,45,1.48
2011-02-14,3,2,2011,1,1,0,0,0,0,STORE_1_587,13,2.48
2011-02-14,3,2,2011,1,1,0,0,0,0,STORE_1_586,45,1.48
2011-02-14,3,2,2011,1,1,0,0,0,0,STORE_1_584,6,1.0
2011-02-14,3,2,2011,1,1,0,0,0,0,STORE_1_547,40,0.2
2011-02-14,3,2,2011,1,1,0,0,0,0,STORE_1_325,0,
2011-02-14,3,2,2011,1,1,0,0,0,0,STORE_1_339,1,0.88
2011-02-14,3,2,2011,1,1,0,0,0,0,STORE_1_252,20,1.48
2011-02-14,3,2,2011,1,1,0,0,0,0,STORE_1_090,0,1.25
2011-02-14,3,2,2011,1,1,0,0,0,0,STORE_1_376,0,1.98
2011-02-14,3,2,2011,1,1,0,0,0,0,STORE_1_065,0,2.94
2011-02-14,3,2,2011,1,1,0,0,0,0,STORE_1_064,1,2.54
2011-02-14,3,2,2011,1,1,0,0,0,0,STORE_1_546,2,5.48
2011-02-15,4,2,2011,1,0,0,0,0,0,STORE_1_547,41,0.2
2011-02-15,4,2,2011,1,0,0,0,0,0,STORE_1_714,37,1.48
2011-02-15,4,2,2011,1,0,0,0,0,0,STORE_1_587,22,2.48
2011-02-15,4,2,2011,1,0,0,0,0,0,STORE_1_586,51,1.48
2011-02-15,4,2,2011,1,0,0,0,0,0,STORE_1_584,7,1.0
2011-02-15,4,2,2011,1,0,0,0,0,0,STORE_1_555,35,1.48
2011-02-15,4,2,2011,1,0,0,0,0,0,STORE_1_546,4,5.48
2011-02-15,4,2,2011,1,0,0,0,0,0,STORE_1_727,1,2.98
2011-02-15,4,2,2011,1,0,0,0,0,0,STORE_1_252,21,1.48
2011-02-15,4,2,2011,1,0,0,0,0,0,STORE_1_090,0,1.25
2011-02-15,4,2,2011,1,0,0,0,0,0,STORE_1_376,0,1.98
2011-02-15,4,2,2011,1,0,0,0,0,0,STORE_1_325,0,
2011-02-15,4,2,2011,1,0,0,0,0,0,STORE_1_065,1,2.94
2011-02-15,4,2,2011,1,0,0,0,0,0,STORE_1_064,0,2.54
2011-02-15,4,2,2011,1,0,0,0,0,0,STORE_1_339,4,0.88
2011-02-16,5,2,2011,0,0,0,0,0,0,STORE_1_727,0,2.98
2011-02-16,5,2,2011,0,0,0,0,0,0,STORE_1_714,24,1.48
2011-02-16,5,2,2011,0,0,0,0,0,0,STORE_1_587,7,2.48
2011-02-16,5,2,2011,0,0,0,0,0,0,STORE_1_586,55,1.48
2011-02-16,5,2,2011,0,0,0,0,0,0,STORE_1_584,5,1.0
2011-02-16,5,2,2011,0,0,0,0,0,0,STORE_1_555,47,1.48
2011-02-16,5,2,2011,0,0,0,0,0,0,STORE_1_547,7,0.2
2011-02-16,5,2,2011,0,0,0,0,0,0,STORE_1_325,0,
2011-02-16,5,2,2011,0,0,0,0,0,0,STORE_1_339,3,0.88
2011-02-16,5,2,2011,0,0,0,0,0,0,STORE_1_252,10,1.48
2011-02-16,5,2,2011,0,0,0,0,0,0,STORE_1_090,0,1.25
2011-02-16,5,2,2011,0,0,0,0,0,0,STORE_1_376,3,1.98
2011-02-16,5,2,2011,0,0,0,0,0,0,STORE_1_546,6,5.48
2011-02-16,5,2,2011,0,0,0,0,0,0,STORE_1_065,0,2.94
2011-02-16,5,2,2011,0,0,0,0,0,0,STORE_1_064,0,2.54
2011-02-17,6,2,2011,0,0,0,0,0,0,STORE_1_714,14,1.48
2011-02-17,6,2,2011,0,0,0,0,0,0,STORE_1_587,30,2.48
2011-02-17,6,2,2011,0,0,0,0,0,0,STORE_1_586,36,1.48
2011-02-17,6,2,2011,0,0,0,0,0,0,STORE_1_584,4,1.0
2011-02-17,6,2,2011,0,0,0,0,0,0,STORE_1_555,47,1.48
2011-02-17,6,2,2011,0,0,0,0,0,0,STORE_1_547,15,0.2
2011-02-17,6,2,2011,0,0,0,0,0,0,STORE_1_727,0,2.98
2011-02-17,6,2,2011,0,0,0,0,0,0,STORE_1_546,1,5.48
2011-02-17,6,2,2011,0,0,0,0,0,0,STORE_1_252,25,1.48
2011-02-17,6,2,2011,0,0,0,0,0,0,STORE_1_090,0,1.25
2011-02-17,6,2,2011,0,0,0,0,0,0,STORE_1_376,0,1.98
2011-02-17,6,2,2011,0,0,0,0,0,0,STORE_1_325,0,
2011-02-17,6,2,2011,0,0,0,0,0,0,STORE_1_065,0,2.94
2011-02-17,6,2,2011,0,0,0,0,0,0,STORE_1_064,0,2.54
2011-02-17,6,2,2011,0,0,0,0,0,0,STORE_1_339,0,0.88
2011-02-18,7,2,2011,0,0,0,0,0,0,STORE_1_727,0,2.98
2011-02-18,7,2,2011,0,0,0,0,0,0,STORE_1_714,15,1.48
2011-02-18,7,2,2011,0,0,0,0,0,0,STORE_1_587,24,2.48
2011-02-18,7,2,2011,0,0,0,0,0,0,STORE_1_586,62,1.48
2011-02-18,7,2,2011,0,0,0,0,0,0,STORE_1_584,9,1.0
2011-02-18,7,2,2011,0,0,0,0,0,0,STORE_1_555,37,1.48
2011-02-18,7,2,2011,0,0,0,0,0,0,STORE_1_547,22,0.2
2011-02-18,7,2,2011,0,0,0,0,0,0,STORE_1_339,2,0.88
2011-02-18,7,2,2011,0,0,0,0,0,0,STORE_1_252,39,1.48
2011-02-18,7,2,2011,0,0,0,0,0,0,STORE_1_090,0,1.25
2011-02-18,7,2,2011,0,0,0,0,0,0,STORE_1_376,2,1.98
2011-02-18,7,2,2011,0,0,0,0,0,0,STORE_1_325,0,
2011-02-18,7,2,2011,0,0,0,0,0,0,STORE_1_065,1,2.94
2011-02-18,7,2,2011,0,0,0,0,0,0,STORE_1_064,1,2.54
2011-02-18,7,2,2011,0,0,0,0,0,0,STORE_1_546,7,5.48
2011-02-19,1,2,2011,0,0,0,0,0,1,STORE_1_727,0,2.98
2011-02-19,1,2,2011,0,0,0,0,0,1,STORE_1_714,32,1.48
2011-02-19,1,2,2011,0,0,0,0,0,1,STORE_1_587,59,2.48
2011-02-19,1,2,2011,0,0,0,0,0,1,STORE_1_586,75,1.48
2011-02-19,1,2,2011,0,0,0,0,0,1,STORE_1_584,8,1.0
2011-02-19,1,2,2011,0,0,0,0,0,1,STORE_1_555,53,1.48
2011-02-19,1,2,2011,0,0,0,0,0,1,STORE_1_547,20,0.2
2011-02-19,1,2,2011,0,0,0,0,0,1,STORE_1_546,5,5.48
2011-02-19,1,2,2011,0,0,0,0,0,1,STORE_1_252,39,1.48
2011-02-19,1,2,2011,0,0,0,0,0,1,STORE_1_090,0,1.25
2011-02-19,1,2,2011,0,0,0,0,0,1,STORE_1_376,7,1.98
2011-02-19,1,2,2011,0,0,0,0,0,1,STORE_1_325,0,
2011-02-19,1,2,2011,0,0,0,0,0,1,STORE_1_065,1,2.94
2011-02-19,1,2,2011,0,0,0,0,0,1,STORE_1_064,3,2.54
2011-02-19,1,2,2011,0,0,0,0,0,1,STORE_1_339,3,0.88
2011-02-20,2,2,2011,0,0,0,0,0,1,STORE_1_714,14,1.48
2011-02-20,2,2,2011,0,0,0,0,0,1,STORE_1_587,73,2.48
2011-02-20,2,2,2011,0,0,0,0,0,1,STORE_1_586,57,1.48
2011-02-20,2,2,2011,0,0,0,0,0,1,STORE_1_584,10,1.0
2011-02-20,2,2,2011,0,0,0,0,0,1,STORE_1_555,51,1.48
2011-02-20,2,2,2011,0,0,0,0,0,1,STORE_1_547,30,0.2
2011-02-20,2,2,2011,0,0,0,0,0,1,STORE_1_546,3,5.48
2011-02-20,2,2,2011,0,0,0,0,0,1,STORE_1_727,0,2.98
2011-02-20,2,2,2011,0,0,0,0,0,1,STORE_1_252,26,1.48
2011-02-20,2,2,2011,0,0,0,0,0,1,STORE_1_090,0,1.25
2011-02-20,2,2,2011,0,0,0,0,0,1,STORE_1_376,0,1.98
2011-02-20,2,2,2011,0,0,0,0,0,1,STORE_1_325,0,
2011-02-20,2,2,2011,0,0,0,0,0,1,STORE_1_065,0,2.94
2011-02-20,2,2,2011,0,0,0,0,0,1,STORE_1_064,1,2.54
2011-02-20,2,2,2011,0,0,0,0,0,1,STORE_1_339,7,0.88
2011-02-21,3,2,2011,0,0,1,0,0,0,STORE_1_727,0,2.98
2011-02-21,3,2,2011,0,0,1,0,0,0,STORE_1_714,14,1.48
2011-02-21,3,2,2011,0,0,1,0,0,0,STORE_1_587,52,2.48
